entry_id,asset_id,source_field
entry_7aeb2f7fe07b10bdcecc,asset_8762d1c0548f870d39d3,DVIDS Video ID
entry_7aeb2f7fe07b10bdcecc,asset_88a20bf256ccce7a1205,PDF | Image Link
entry_7b22c519690e76235757,asset_464f81c988dcee9eff31,PDF | Image Link
entry_7b4d677b1092f3c1e561,asset_ea18e274b06b352ee1be,PDF | Image Link
entry_7c32d339f94fbb765194,asset_0f025bcbd048e7383044,PDF | Image Link
entry_7cc2a02f475bcfef37c4,asset_8475e7d66176c43922cf,DVIDS Video ID
entry_7cf65ec6a374a35076b0,asset_98a873861e250b9e73a2,PDF | Image Link
entry_7d60ad5b72723f8e7cc1,asset_9e677b86976853111ba1,PDF | Image Link
entry_7d8033080a7c69283cd8,asset_2b947223739f5bd4108a,PDF | Image Link
entry_7dce8ff6e8daf04d30a6,asset_da4f5a66f5067e913836,DVIDS Video ID
entry_7eb69bfdae172df50b6a,asset_765a28effad5ab93c9e5,PDF | Image Link
entry_7fb4bdca207c9724a3a2,asset_f6d9556247ebeb2dedb7,PDF | Image Link
entry_8113346343b7958b6520,asset_5847028ebb855cf8c4c5,PDF | Image Link
entry_821fe75f6dbdedc93deb,asset_3d997955e4d286271707,DVIDS Video ID
entry_87ce4cd66bf4d90fb602,asset_498e116b27257bb2d083,DVIDS Video ID
entry_87ce4cd66bf4d90fb602,asset_9961adf6adf1010b38d3,PDF | Image Link
entry_88569398dbea5f1e98ed,asset_24f4178ed9082f2ce7ba,PDF | Image Link
entry_8869ad2705017ba728b7,asset_31e358b5865ba343a657,DVIDS Video ID
entry_88c116bd961157c7ef25,asset_c920c38ffb7d9e9c70b8,DVIDS Video ID
entry_895a0a20795a2baef864,asset_498e116b27257bb2d083,DVIDS Video ID
entry_895a0a20795a2baef864,asset_9961adf6adf1010b38d3,PDF | Image Link
entry_8a4f80c68af4fb1093b2,asset_a3672ccd47d5503a150d,PDF | Image Link
entry_8ab7c138316f202a6888,asset_c142741e8cafc65997d6,PDF | Image Link
entry_8cbd9ba356f930b8fa15,asset_3893e5d0279db3b16a01,PDF | Image Link
entry_8cbd9ba356f930b8fa15,asset_f667445a64dd8f98cc6b,DVIDS Video ID
entry_8d9455b3bf9fd154a107,asset_298f24fde4ba76c91e7e,DVIDS Video ID
entry_8e168d34328be33a30d1,asset_ed47f0c794967c399b6c,DVIDS Video ID
entry_8ee0a94c9eeda67565c8,asset_c48c078b811c0fd7250d,PDF | Image Link
entry_8f23352a04f8060d748f,asset_df43a479bc891969025b,PDF | Image Link
entry_8f47a4220f5f4e2efda3,asset_979639dbe92470694fce,PDF | Image Link
entry_9063155cb4faed5d2f97,asset_cebee0155ce379250252,DVIDS Video ID
entry_908beeb6625f5a361c34,asset_db390eba790bd5cd713d,PDF | Image Link
entry_916e852fdbbda20146c6,asset_aecd8054e65487a46d3d,DVIDS Video ID
entry_91b223863fe569c30741,asset_b77560f5f255a6618b11,PDF | Image Link
entry_928f485a35fece1e2581,asset_085c019c9899db9b639a,PDF | Image Link
entry_92bc15d48b7bb67a1850,asset_bf64efe28f232d4f5c7e,DVIDS Video ID
entry_935e4f2643170865a884,asset_19b18b71420602c5d1cb,PDF | Image Link
entry_94f6e2769dc5e3929a9f,asset_c788c17e8cc322303867,PDF | Image Link
entry_94f6e2769dc5e3929a9f,asset_f779c13eb6ad055001a3,DVIDS Video ID
entry_950070a4882d5ecc4b12,asset_9e2c2621d67dde1245da,PDF | Image Link
entry_963da9a9cc4e9b384521,asset_774ebdca92c348929e63,PDF | Image Link
entry_96592578c40f1ee7d3cd,asset_4b68726be4af8ff92f2c,PDF | Image Link
entry_967db0e97d5dc3645e59,asset_f73953895630ccff9c39,DVIDS Video ID
entry_9716f65c658d1670e169,asset_d14e0371a5bf0f5e1b8d,PDF | Image Link
entry_98b3813d0d2e328bb9ce,asset_6b8b46e0dc1321c3e98e,DVIDS Video ID
entry_98bb9da6af40dd76cfe0,asset_b3cb1b38bffcb4eba8fb,PDF | Image Link
entry_98e071cb0533580e182a,asset_ba30b5fdb4f6d15309d0,PDF | Image Link
entry_9920d27a349af18b1398,asset_87a17be77dae3d9f43ef,PDF | Image Link
entry_99c4c236f44a44d5a42e,asset_8dfcf1050947c6d36de9,PDF | Image Link
entry_9b56deb144a6f73e9cd6,asset_d690556436face81cff7,DVIDS Video ID
entry_9b956a6417fc700d0173,asset_f6935b10dea56aa5d97a,PDF | Image Link
entry_9b9f1459d976d75c05c1,asset_076e3a3c73273efe4665,PDF | Image Link
entry_9c56e75f992eda30ab23,asset_81a3947abfb387afbbff,PDF | Image Link
entry_9c61b8b4d5ffd4f76640,asset_051a07582a23df10d75f,PDF | Image Link
entry_9c6bfae488a94d1f5a6c,asset_5d9d3147f0b62d0c9d1b,PDF | Image Link
entry_9cc51d5d66cd0c02e629,asset_b4e78f02769e4b70fc1d,DVIDS Video ID
entry_9cc72c1c18b64a746c49,asset_aa852359668905ee6cef,DVIDS Video ID
entry_9cd01437840449aa8e07,asset_bd9411951868bc3e665a,PDF | Image Link
entry_9d8501424d687341a5b1,asset_a417f61b2dbd671fae87,PDF | Image Link
entry_9e1da879c8df5f4a436b,asset_973c1f75f55d0d39dcf7,PDF | Image Link
entry_9e2df530cdb725853058,asset_38ee227f22a337728556,PDF | Image Link
entry_9e364b14b1b7f2ef6ad4,asset_a26dca837c646e0716ba,DVIDS Video ID
entry_9f6348b340c446e7f0fc,asset_fd8bfb9481bcbdd3a066,PDF | Image Link
entry_9faae0575db8e4ae1255,asset_8f354cf1d1f821f0de29,PDF | Image Link
entry_9fbc1e51d5b5423e2a92,asset_6ded7ef20ded84c7d0ea,PDF | Image Link
entry_a02c889bf3fc569a4bfd,asset_119385be986584c86319,DVIDS Video ID
entry_a27c40e4c79ca9a1f333,asset_71985f69c0cd6ddc78f7,DVIDS Video ID
entry_a33787eeca0c5059bc94,asset_5df2556a0bf6a0d410e4,DVIDS Video ID
entry_a3943d15d1d401379bbd,asset_17a8cc07fd8c694f974c,PDF | Image Link
entry_a51412da1f1293ecccde,asset_bbc494426d526bdcfa51,PDF | Image Link
entry_a54b878d89a401a65a0c,asset_42b04adcffd9554395e2,DVIDS Video ID
entry_a5bd1ad438141d42a7bc,asset_811e54fbf8cff4cc1c5a,PDF | Image Link
entry_a6b862640855f2eda152,asset_9317a6ea91f7425cc9ff,PDF | Image Link
entry_a776ccce4a77820bf77a,asset_0e3b3ec17a9ae021d21c,PDF | Image Link
entry_a8e0026b70232e667b11,asset_3a0d83f3e51179dbf64f,PDF | Image Link
entry_a935d8785a33c0bc13e3,asset_02fa613f216621499a96,PDF | Image Link
entry_aad00059a992a38a211a,asset_4cf7750d0dd1edd3e73d,PDF | Image Link
entry_ac7319d72c7e3490f0cb,asset_1b522e779e72877cac51,PDF | Image Link
entry_ac94d75cee546d2ce451,asset_42a4bda7a5d423f56571,DVIDS Video ID
entry_acf9247365eb67a54042,asset_48502ae871d53621000e,PDF | Image Link
entry_ad20f9f93fcad6061f74,asset_d33f29482d47785f502d,DVIDS Video ID
entry_ad59af9d44615688a44e,asset_3a5445e8aa7985d41d5e,PDF | Image Link
entry_af5647ce0e2cdc1e6ff1,asset_def4ea363f675aed71b6,DVIDS Video ID
entry_af57bab10c08c85e67da,asset_29f1035b2cdde6b763c2,PDF | Image Link
entry_b09f15f91be720f54814,asset_a5464aaf1bf664c828a9,DVIDS Video ID
entry_b0ec949962d1475e5897,asset_189c636246ca98e3e50d,DVIDS Video ID
entry_b50b28200c7906bc24d8,asset_93cbdaad1d4ac853bc5f,PDF | Image Link
entry_b5a79af369b8f35131d0,asset_c2961d7ccb95ae459a8f,PDF | Image Link
entry_b61e3cd42425f623c0c2,asset_205f9d0f627074c3d7c5,PDF | Image Link
entry_b719c5ad5ae4026b7bf4,asset_345b4aada19297b04187,DVIDS Video ID
entry_b7720fdd1edd0cdc6a6c,asset_06c5cecc4018786c6100,PDF | Image Link
entry_b7d4932852378f2c6596,asset_fad6007114b5eb63c9aa,PDF | Image Link
entry_b800a2e79163353b54d9,asset_7f82f2b52de25da1697a,DVIDS Video ID
entry_b80b97a10e2c1fb886ad,asset_213ab63a7aefa8fdbe6c,PDF | Image Link
entry_b87521b53790e138e373,asset_ad721de274bb7d6c1031,PDF | Image Link
entry_b87fc86c022974f62702,asset_83aa439781e60e7b45a9,PDF | Image Link
entry_b975b6bf5d762af2b83d,asset_86aefdb5f2538f9c129d,DVIDS Video ID
entry_b987989cfe022a64e147,asset_279f832719c777c40a2b,DVIDS Video ID
entry_b9b047b4fd41ee773124,asset_669dd29723dd423f683e,PDF | Image Link
entry_b9e6e8e4626675dd3874,asset_7c52c50b9b5157013c4a,DVIDS Video ID
entry_ba170d5a8946608d1409,asset_0f469fcf6fb428756b05,PDF | Image Link
entry_ba254852d6edaaf830a7,asset_4ea340f612c3f8c2f094,PDF | Image Link
entry_ba9fbf0772acdbfba087,asset_b359f0eeb1b82342fbb9,DVIDS Video ID
entry_bacaf0f1b2fe164aa90d,asset_d004ede8668351c2179a,DVIDS Video ID
entry_bb535da4bed6cb463196,asset_a656bd6cde8fafbf9996,DVIDS Video ID
entry_bc7ad60769463515f841,asset_04b9179a7637d6ada70b,PDF | Image Link
entry_bc9d4e3655af100d5f38,asset_7b4e9de684848cfca5bd,DVIDS Video ID
entry_bcc2cdfa22e7b020c61b,asset_b869fd5353d5c853cda5,PDF | Image Link
entry_bd1a36ff423982e37ce3,asset_5a1026673150b72f6631,PDF | Image Link
entry_bdda80c3a7ad8de7857e,asset_6fc6419676926f1306f1,PDF | Image Link
entry_bde92365628e37026666,asset_36bcfe2cfb5f3f549700,PDF | Image Link
entry_c04d163c0f16fc99f392,asset_c8d89f235e4879614862,PDF | Image Link
entry_c167f46c1e3ad3bd4499,asset_fc9cb08cad327063e528,PDF | Image Link
entry_c195cb38304e07f3f844,asset_e5ede8284877900c4da4,DVIDS Video ID
entry_c2ab144b840838365260,asset_0be6babdc5eef0fd0d49,DVIDS Video ID
entry_c2ab144b840838365260,asset_3746998b8c506e5c28ee,PDF | Image Link
entry_c3030e7606adc33d66b6,asset_b03309df6758ab151e37,PDF | Image Link
entry_c323a1817effcec72b99,asset_3b9b39e2c0b96e9f9766,DVIDS Video ID
entry_c3bf389e872c8963ec1a,asset_df252334c73a90198b01,PDF | Image Link
